date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2023-09-14,27|SENTINEL-1A|2023-09-14,4,SENTINEL-1A,50324,,"{""027_056011_IW2"": ""S1_056011_IW2_20230914T125547_VV_557A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230914T125549_VV_557A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230914T125552_VV_BAAD-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230914T125555_VV_BAAD-BURST""}"
2023-09-26,27|SENTINEL-1A|2023-09-26,4,SENTINEL-1A,50499,,"{""027_056011_IW2"": ""S1_056011_IW2_20230926T125547_VV_FA51-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230926T125550_VV_FA51-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230926T125553_VV_EA9D-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230926T125555_VV_EA9D-BURST""}"
2023-10-08,27|SENTINEL-1A|2023-10-08,4,SENTINEL-1A,50674,,"{""027_056011_IW2"": ""S1_056011_IW2_20231008T125547_VV_A180-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231008T125550_VV_A180-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231008T125553_VV_5CEE-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231008T125555_VV_5CEE-BURST""}"
2023-10-20,27|SENTINEL-1A|2023-10-20,4,SENTINEL-1A,50849,,"{""027_056011_IW2"": ""S1_056011_IW2_20231020T125547_VV_9875-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231020T125550_VV_9875-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231020T125553_VV_CD22-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231020T125555_VV_CD22-BURST""}"
2023-11-01,27|SENTINEL-1A|2023-11-01,4,SENTINEL-1A,51024,,"{""027_056011_IW2"": ""S1_056011_IW2_20231101T125546_VV_CED9-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231101T125549_VV_CED9-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231101T125552_VV_46B6-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231101T125555_VV_46B6-BURST""}"
2023-11-13,27|SENTINEL-1A|2023-11-13,4,SENTINEL-1A,51199,,"{""027_056011_IW2"": ""S1_056011_IW2_20231113T125547_VV_C755-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231113T125549_VV_C755-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231113T125552_VV_31F3-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231113T125555_VV_31F3-BURST""}"
2023-11-25,27|SENTINEL-1A|2023-11-25,4,SENTINEL-1A,51374,,"{""027_056011_IW2"": ""S1_056011_IW2_20231125T125546_VV_FF98-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231125T125549_VV_FF98-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231125T125551_VV_CE78-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231125T125554_VV_CE78-BURST""}"
2023-12-07,27|SENTINEL-1A|2023-12-07,4,SENTINEL-1A,51549,,"{""027_056011_IW2"": ""S1_056011_IW2_20231207T125546_VV_12CE-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231207T125548_VV_12CE-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231207T125551_VV_ECA9-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231207T125554_VV_ECA9-BURST""}"
2023-12-19,27|SENTINEL-1A|2023-12-19,4,SENTINEL-1A,51724,,"{""027_056011_IW2"": ""S1_056011_IW2_20231219T125545_VV_C994-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231219T125548_VV_C994-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231219T125550_VV_14A3-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231219T125553_VV_14A3-BURST""}"
2023-12-31,27|SENTINEL-1A|2023-12-31,4,SENTINEL-1A,51899,,"{""027_056011_IW2"": ""S1_056011_IW2_20231231T125544_VV_C241-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20231231T125547_VV_C241-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20231231T125550_VV_7288-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20231231T125553_VV_7288-BURST""}"
