row0,col0,center_row,center_col,median_coherence,median_velocity_mm_per_yr,median_velocity_std_mm_per_yr,min_edge_distance_m,min_support
600,2000,625,2025,0.5239162445068359,-20.726855844259262,2.446027472615242,1926.6551326067674,1.0
600,2050,625,2075,0.3272033780813217,-9.532262571156025,2.500186557881534,2889.9826989101507,1.0
600,2100,625,2125,0.3233057111501694,2.6953715132549405,2.1543699549511075,3341.8557718728675,1.0
600,2150,625,2175,0.3864581435918808,9.736844804137945,1.9521238282322884,1431.0835055998655,1.0
600,2200,625,2225,0.38308414816856384,13.525255024433136,1.760801998898387,640.0,1.0
600,2250,625,2275,0.3296984136104584,6.594976643100381,1.777584373485297,993.5793878699377,1.0
600,2300,625,2325,0.3429035544395447,-0.05919247087149415,1.3712872751057148,2833.2313707143653,1.0
600,2350,625,2375,0.37846705317497253,13.72568728402257,1.2370988260954618,4379.22367549318,1.0
600,2400,625,2425,0.3096173107624054,12.817391660064459,1.2340444372966886,5849.5811815889865,1.0
600,2450,625,2475,0.295212522149086,16.718155704438686,1.3820339809171855,7072.76466454243,1.0
600,2500,625,2525,0.295394703745842,29.455901123583317,1.701922679785639,5085.666131393212,1.0
600,2550,625,2575,0.2864156812429428,27.759097516536713,2.2251352202147245,3115.124395590006,1.0
600,2600,625,2625,0.23834474384784698,31.151059083640575,2.3235399276018143,1242.5779653607253,1.0
600,2650,625,2675,0.2614988535642624,23.82743451744318,2.488836064003408,680.0,1.0
650,650,675,675,0.25885818898677826,-36.322662606835365,6.125998217612505,160.0,1.0
650,750,675,775,0.45290692150592804,-39.692481979727745,5.706158000975847,760.0,1.0
650,800,675,825,0.4704733341932297,-29.48805969208479,5.777921760454774,0.0,1.0
650,950,675,975,0.37463995814323425,-38.01724687218666,5.7710816618055105,0.0,1.0
650,1150,675,1175,0.3095647841691971,-40.598733350634575,5.624018609523773,400.0,1.0
650,1200,675,1225,0.4720090478658676,-36.919357255101204,5.234211683273315,120.0,1.0
650,1600,675,1625,0.23725800961256027,-44.19655539095402,4.064254695549607,561.426753904728,1.0
650,1650,675,1675,0.23928170651197433,-38.12874294817448,4.3627561535686255,2322.0680437919987,1.0
650,1700,675,1725,0.26866160333156586,-53.225332871079445,4.095623502507806,1560.0,1.0
650,1750,675,1775,0.2616690695285797,-56.14171549677849,3.6433079512789845,1592.4823389915505,1.0
650,1850,675,1875,0.30138471722602844,-19.41484585404396,2.7252607978880405,200.0,1.0
650,1900,675,1925,0.5466502904891968,-18.186393193900585,2.3300349712371826,2200.0,1.0
650,1950,675,1975,0.6369302272796631,-20.30221838504076,2.156962058506906,3920.0,1.0
650,2000,675,2025,0.4049645811319351,-19.825815223157406,2.5681706611067057,3923.263947276553,1.0
650,2050,675,2075,0.3094179481267929,-5.276137264445424,2.6106052100658417,4475.712233823797,1.0
650,2100,675,2125,0.31948259472846985,0.05932903695793357,2.323027001693845,3280.0,1.0
650,2150,675,2175,0.35381223261356354,-3.132835729047656,2.0559801487252116,1280.0,1.0
650,2200,675,2225,0.3229193389415741,6.021220935508609,2.05985433422029,0.0,1.0
650,2250,675,2275,0.30387434363365173,8.016895037144423,2.0207756897434592,760.0,1.0
650,2300,675,2325,0.28636351227760315,-1.02329469518736,1.6273193177767098,2760.0,1.0
650,2350,675,2375,0.2927473336458206,9.73170017823577,1.506023749243468,4760.0,1.0
650,2400,675,2425,0.32259783148765564,10.887893382459879,1.3942038640379906,5491.812087098392,1.0
650,2450,675,2475,0.28518280386924744,2.717708353884518,1.394053571857512,5966.57355607052,1.0
