index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
97,20221025_20221130,20221025,20221130,36,35.5,1226497,1203785,0.981482,1226497,1.0,0.5001,0.3119,0.5577,6,0.70924,0.995735,0.783907,0.500035
98,20221106_20221118,20221106,20221118,12,118.3,1226497,1203896,0.981573,1226497,1.0,0.7743,0.5616,0.7133,7,0.976582,0.998263,0.941299,0.800578
99,20221106_20221130,20221106,20221130,24,98.3,1226497,1203803,0.981497,1226497,1.0,0.5725,0.3398,0.5847,5,0.81777,0.996505,0.832261,0.563679
100,20221106_20221212,20221106,20221212,36,125.2,1226497,1203792,0.981488,1226497,1.0,0.4616,0.3063,0.5317,4,0.655088,0.995309,0.769625,0.467094
101,20221118_20221130,20221118,20221130,12,-20.0,1226497,1203768,0.981468,1226497,1.0,0.8803,0.7292,0.8087,10,0.991725,0.999174,0.97396,0.904539
102,20221118_20221212,20221118,20221212,24,6.9,1226497,1203762,0.981463,1226497,1.0,0.7232,0.4169,0.6662,1,0.924272,0.997697,0.888252,0.679621
103,20221118_20221224,20221118,20221224,36,-75.4,1226497,1203893,0.98157,1226497,1.0,0.6,0.334,0.6008,4,0.782501,0.996586,0.824063,0.571703
104,20221130_20221212,20221130,20221212,12,26.9,1226497,1203766,0.981467,1226497,1.0,0.8879,0.7674,0.8294,3,0.99584,0.999368,0.983079,0.936778
105,20221130_20221224,20221130,20221224,24,-55.4,1226497,1203786,0.981483,1226497,1.0,0.7461,0.4918,0.6901,1,0.967662,0.998235,0.924134,0.742582
106,20221130_20230105,20221130,20230105,36,-112.8,1226497,1203818,0.981509,1226497,1.0,0.6314,0.3637,0.6166,2,0.881665,0.996947,0.856471,0.610134
107,20221212_20221224,20221212,20221224,12,-82.3,1226497,1203770,0.98147,1226497,1.0,0.8901,0.7838,0.8367,9,0.996998,0.999366,0.985685,0.9472
108,20221212_20230105,20221212,20230105,24,-139.8,1226497,1203834,0.981522,1226497,1.0,0.7443,0.5217,0.6935,1,0.977388,0.998156,0.935564,0.770214
109,20221212_20230117,20221212,20230117,36,-232.4,1226497,1203710,0.981421,1226497,1.0,0.5955,0.3668,0.594,1,0.908685,0.996422,0.859116,0.597115
110,20221224_20230105,20221224,20230105,12,-57.5,1226497,1203873,0.981554,1226497,1.0,0.911,0.8212,0.8601,10,0.997517,0.999476,0.988341,0.960342
111,20221224_20230117,20221224,20230117,24,-150.1,1226497,1203670,0.981388,1226497,1.0,0.7589,0.5506,0.7063,9,0.982973,0.998253,0.944069,0.796348
112,20221224_20230129,20221224,20230129,36,108.7,1226497,1203846,0.981532,1226497,1.0,0.4935,0.3235,0.544,2,0.837147,0.995962,0.809505,0.49334
113,20230105_20230117,20230105,20230117,12,-92.6,1226497,1203675,0.981393,1226497,1.0,0.885,0.7662,0.8258,9,0.995852,0.999225,0.98226,0.934338
114,20230105_20230129,20230105,20230129,24,166.2,1226497,1203885,0.981564,1226497,1.0,0.5682,0.3708,0.5788,1,0.929716,0.996643,0.866148,0.581958
115,20230105_20230210,20230105,20230210,36,61.4,1226497,1203686,0.981402,1226497,1.0,0.6172,0.362,0.6108,1,0.886015,0.996837,0.854796,0.602121
116,20230117_20230210,20230117,20230210,24,154.1,1226497,1203751,0.981455,1226497,1.0,0.6732,0.4243,0.6409,2,0.949392,0.997325,0.894071,0.675177
117,20230117_20230222,20230117,20230222,36,37.7,1226497,1203723,0.981432,1226497,1.0,0.6235,0.3529,0.6115,3,0.864866,0.996673,0.844627,0.598615
118,20230129_20230210,20230129,20230210,12,-104.8,1226497,1203694,0.981408,1226497,1.0,0.5827,0.3746,0.5865,2,0.923309,0.996721,0.867687,0.595262
119,20230129_20230222,20230129,20230222,24,-221.1,1226497,1203846,0.981532,1226497,1.0,0.4099,0.3007,0.4802,8,0.710783,0.9944,0.752351,0.38912
120,20230129_20230306,20230129,20230306,36,-64.3,1226497,1203844,0.98153,1226497,1.0,0.4054,0.2969,0.4957,3,0.631143,0.994585,0.738823,0.403736
121,20230210_20230222,20230210,20230222,12,-116.3,1226497,1203761,0.981463,1226497,1.0,0.7496,0.5064,0.6911,1,0.971321,0.998021,0.925164,0.755381
122,20230210_20230306,20230210,20230306,24,40.5,1226497,1203730,0.981437,1226497,1.0,0.6388,0.3681,0.6196,1,0.889904,0.996935,0.858302,0.618162
123,20230210_20230318,20230210,20230318,36,-35.1,1226497,1203739,0.981445,1226497,1.0,0.4419,0.3049,0.5218,5,0.699126,0.995151,0.765409,0.445904
124,20230222_20230306,20230222,20230306,12,156.8,1226497,1203839,0.981526,1226497,1.0,0.6971,0.4471,0.655,2,0.95717,0.997486,0.903793,0.700228
125,20230222_20230318,20230222,20230318,24,81.2,1226497,1203842,0.981529,1226497,1.0,0.4657,0.3124,0.5289,6,0.765332,0.995459,0.785754,0.466157
126,20230222_20230330,20230222,20230330,36,117.6,1226497,1203864,0.981547,1226497,1.0,0.3431,0.2818,0.4224,8,0.478212,0.993085,0.6638,0.275394
127,20230306_20230318,20230306,20230318,12,-75.6,1226497,1203911,0.981585,1226497,1.0,0.5655,0.3558,0.5796,2,0.894312,0.996632,0.850674,0.570462
128,20230306_20230330,20230306,20230330,24,-39.2,1226497,1203886,0.981565,1226497,1.0,0.3666,0.2888,0.4556,7,0.564387,0.994233,0.703181,0.337046
129,20230306_20230411,20230306,20230411,36,79.3,1226497,1203839,0.981526,1226497,1.0,0.4754,0.3077,0.5405,5,0.675396,0.995476,0.773409,0.480257
130,20230318_20230330,20230318,20230330,12,36.4,1226497,1203863,0.981546,1226497,1.0,0.5276,0.3286,0.5553,1,0.803143,0.996269,0.817352,0.526789
